Source,Target,Type,Id,Label,timeset,Weight
1,0,Directed,171976,,,1
2,0,Directed,171977,,,8
3,0,Directed,171978,,,10
3,2,Directed,171979,,,6
4,0,Directed,171980,,,1
5,0,Directed,171981,,,1
6,0,Directed,171982,,,1
7,0,Directed,171983,,,1
8,0,Directed,171984,,,2
9,0,Directed,171985,,,1
11,10,Directed,171986,,,1
11,3,Directed,171987,,,3
11,2,Directed,171988,,,3
11,0,Directed,171989,,,5
12,11,Directed,171990,,,1
13,11,Directed,171991,,,1
14,11,Directed,171992,,,1
15,11,Directed,171993,,,1
17,16,Directed,171994,,,4
18,16,Directed,171995,,,4
18,17,Directed,171996,,,4
19,16,Directed,171997,,,4
19,17,Directed,171998,,,4
19,18,Directed,171999,,,4
20,16,Directed,172000,,,3
20,17,Directed,172001,,,3
20,18,Directed,172002,,,3
20,19,Directed,172003,,,4
21,16,Directed,172004,,,3
21,17,Directed,172005,,,3
21,18,Directed,172006,,,3
21,19,Directed,172007,,,3
21,20,Directed,172008,,,5
22,16,Directed,172009,,,3
22,17,Directed,172010,,,3
22,18,Directed,172011,,,3
22,19,Directed,172012,,,3
22,20,Directed,172013,,,4
22,21,Directed,172014,,,4
23,16,Directed,172015,,,3
23,17,Directed,172016,,,3
23,18,Directed,172017,,,3
23,19,Directed,172018,,,3
23,20,Directed,172019,,,4
23,21,Directed,172020,,,4
23,22,Directed,172021,,,4
23,12,Directed,172022,,,2
23,11,Directed,172023,,,9
24,23,Directed,172024,,,2
24,11,Directed,172025,,,7
25,24,Directed,172026,,,13
25,23,Directed,172027,,,1
25,11,Directed,172028,,,12
26,24,Directed,172029,,,4
26,11,Directed,172030,,,31
26,16,Directed,172031,,,1
26,25,Directed,172032,,,1
27,11,Directed,172033,,,17
27,23,Directed,172034,,,5
27,25,Directed,172035,,,5
27,24,Directed,172036,,,1
27,26,Directed,172037,,,1
28,11,Directed,172038,,,8
28,27,Directed,172039,,,1
29,23,Directed,172040,,,1
29,27,Directed,172041,,,1
29,11,Directed,172042,,,2
30,23,Directed,172043,,,1
31,30,Directed,172044,,,2
31,11,Directed,172045,,,3
31,23,Directed,172046,,,2
31,27,Directed,172047,,,1
32,11,Directed,172048,,,1
33,11,Directed,172049,,,2
